Record ID,Offender Number,Record Date,Fiscal Year Revoked,Revocation Type,Status,Sex,Race & Ethnicity,Age,Offense Code,Offense Class,Offense Description,Offense Type,Offense Subtype
6140,19890602,07/28/2023,2024,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Black,57,708.2A(4),D Felony,"Domestic Abuse Assault-3rd or Subsequent Offense, 85%",Violent,Assault
6139,19031228,12/17/2014,2015,3. Revoked - New Arrest Pending or Found Not Guilty,Parole,Male,Black,42,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary
6138,20887622,06/03/2021,2021,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,39,124.401(1)(b)(7),B Felony,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking
6137,19101347,05/10/2016,2016,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,33,714.2(2),D Felony,THEFT 2ND DEGREE,Property,Theft
6136,173822,04/20/2021,2021,4. Revoked - New Arrest ICON,Parole,Male,White,49,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking
6135,18569564,07/25/2017,2018,5. Revoked - Other Violation (No New Arrest),Parole,Male,Hispanic,27,723A.3(1),C Felony,CRIMINAL GANG RECRUITMENT,Other,Other Criminal
6134,18193562,02/26/2016,2016,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Female,White,28,714.2(2),D Felony,THEFT 2ND DEGREE,Property,Theft
6133,19213391,07/15/2016,2017,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,31,711.3,C Felony,"ROBBERY 2ND DEGREE, 85%",Violent,Robbery
6132,20447027,11/14/2016,2017,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Female,White,36,124.401(1)(b)(7),B Felony,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking
6131,18100553,04/05/2018,2018,5. Revoked - Other Violation (No New Arrest),Parole,Female,White,32,706A.4,B Felony,VIOLATION OF 706A.2 - ONGOING CRIMINAL CONDUCT,Other,Other Criminal
6130,3403493,03/11/2024,2024,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Special Sentence,Male,White,40,903B.1,Special Sentence 2005,Special Supervision Sentence-B or C Felony/Lifetime Parole,Violent,Sex
6129,18788573,10/09/2020,2021,4. Revoked - New Arrest ICON,Parole,Male,Hispanic,25,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking
6128,20919080,01/14/2015,2015,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,28,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking
6127,2418842,03/01/2018,2018,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,51,321J.2(C),D Felony,OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI
6126,20464457,04/14/2020,2020,5. Revoked - Other Violation (No New Arrest),Special Sentence,Male,White,35,903B.2,Special Sentence 2005,Special Supervision Sentence-D Felony or Misdemeanors/10 years parole,Violent,Sex
6125,19906583,09/08/2015,2016,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,29,124.401(1)(b)(7),B Felony,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking
6124,20887622,12/14/2023,2024,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,43,124.401(1)(b)(7),B Felony,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking
6123,20134370,06/09/2022,2022,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Female,White,33,124.401(1)(c)(8),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Other Subst Sched I, II, III",Drug,Trafficking
6122,3305087,02/17/2023,2023,5. Revoked - Other Violation (No New Arrest),Parole,Female,White,45,124.401(5)(c),D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession
